-7.801, 111.963
-7.719, 111.676
-7.610, 111.471
-7.528, 111.129
-7.487, 110.993
-7.528, 110.774
-7.555, 110.350
-7.583, 110.091
-7.788, 109.735
-7.952, 109.571
-8.116, 109.462
-8.266, 109.394
-8.416, 109.366
-8.567, 109.476
-8.703, 109.681
-8.772, 109.913
-8.881, 110.200
-8.977, 110.542
-8.977, 110.706
-8.949, 110.924
-8.908, 111.170
-8.867, 111.443
-8.826, 111.826
-8.813, 112.086
-8.744, 112.263
-8.676, 112.359
-8.512, 112.304
-8.252, 112.127
-8.034, 112.127
-7.938, 112.168
-7.856, 112.072
-7.801, 111.949
-7.801, 111.963